iter	Passed	Remaining
159	92460	1063298
160	93043	1062781
161	93640	1062417
162	94191	1061535
163	94798	1061281
164	95376	1060705
165	95967	1060271
166	96489	1059072
167	97055	1058368
168	97636	1057822
169	98361	1058835
170	98908	1057915
171	99463	1057086
172	100015	1056236
173	100585	1055571
174	101164	1055004
175	101724	1054234
176	102283	1053461
177	102865	1052931
178	103442	1052340
179	104043	1051995
180	104633	1051540
181	105188	1050727
182	105748	1049971
183	106327	1049409
184	106880	1048581
185	107461	1048035
186	108023	1047304
187	108616	1046873
188	109192	1046285
189	109737	1045396
190	110309	1044768
191	110878	1044106
192	111420	1043192
193	111991	1042564
194	112523	1041562
195	113091	1040907
196	113679	1040428
197	114271	1039988
198	114964	1040456
199	115530	1039778
200	116110	1039217
201	116678	1038558
202	117263	1038046
203	117851	1037553
204	118432	1037004
205	118978	1036149
206	119550	1035527
207	120139	1035045
208	120719	1034488
209	121286	1033822
210	121858	1033194
211	122432	1032592
212	123014	1032053
213	123611	1031633
214	124189	1031059
215	124723	1030126
216	125278	1029363
217	125866	1028875
218	126450	1028349
219	127167	1028904
220	127744	1028314
221	128281	1027405
222	128828	1026583
223	129409	1026035
224	130143	1026686
225	130711	1026024
226	131284	1025403
227	131835	1024614
228	132566	1025219
229	133116	1024417
230	133666	1023617
231	134236	1022972
232	134819	1022427
233	135378	1021701
234	135945	1021034
235	136669	1021549
236	137232	1020850
237	137789	1020104
238	138347	1019371
239	138928	1018807
240	139517	1018307
241	140099	1017745
242	140661	1017045
243	141222	1016340
244	141792	1015700
245	142337	1014880
246	142894	1014147
247	143497	1013738
248	144066	1013090
249	144661	1012629
250	145246	1012093
251	145806	1011386
252	146352	1010580
253	146911	1009871
254	147483	1009250
255	148068	1008716
256	148642	1008108
257	149216	1007503
258	149759	1006685
259	150362	1006273
260	150945	1005724
261	151532	1005204
262	152103	1004578
263	152653	1003812
264	153232	1003236
265	153794	1002554
266	154338	1001752
267	154923	1001221
268	155483	1000524
269	156048	999869
270	156629	999307
271	157176	998533
272	157757	997977
273	158302	997191
274	158867	996533
275	159442	995937
276	160008	995287
277	160560	994550
278	161110	993800
279	161676	993152
280	162247	992538
281	162829	991990
282	163402	991388
283	163967	990730
284	164525	990037
285	165262	990419
286	165852	989915
287	166422	989287
288	166989	988649
289	167574	988109
290	168133	987423
291	168874	987800
292	169442	987164
293	170000	986464
294	170535	985634
295	171065	984779
296	171626	984106
297	172158	983265
298	172727	982642
299	173321	982156
300	173888	981518
301	174449	980843
302	175023	980248
303	175575	979527
304	176155	978962
305	176689	978141
306	177251	977479
307	177838	976954
308	178395	976267
309	178962	975635
310	179532	975015
311	180102	974399
312	180652	973677
313	181222	973058
314	181776	972362
315	182360	971819
316	182891	970998
317	183441	970280
318	184187	970591
319	184760	969994
320	185344	969452
321	185913	968827
322	186500	968299
323	187056	967611
324	187799	967887
325	188366	967257
326	188938	966647
327	189517	966079
328	190059	965318
329	190688	965001
330	191261	964398
331	191840	963825
332	192420	963256
333	192994	962659
334	193569	962069
335	194155	961531
336	194684	960712
337	195250	960078
338	195842	959569
339	196416	958975
340	197005	958453
341	197558	957753
342	198107	957040
343	198685	956461
344	199270	955921
345	199836	955287
346	200547	955346
347	201120	954745
348	201693	954141
349	202245	953440
350	202817	952836
351	203390	952237
352	203965	951645
353	204520	950960
354	205086	950330
355	205647	949677
356	206216	949059
357	206798	948501
358	207362	947859
359	207881	947017
360	208451	946404
361	209032	945841
362	209611	945271
363	210180	944656
364	210754	944063
365	211313	943406
366	211879	942778
367	212457	942201
368	213037	941635
369	213613	941055
370	214185	940453
371	214774	939928
372	215348	939333
373	215889	938601
374	216453	937964
375	216992	937224
376	217579	936690
377	218131	936003
378	218690	935351
379	219243	934671
380	219830	934134
381	220386	933468
382	220941	932800
383	221526	932258
384	222067	931528
385	222633	930907
386	223335	930853
387	223896	930209
388	224457	929563
389	224980	928766
390	225552	928167
391	226068	927343
392	226654	926803
393	227235	926243
394	227780	925537
395	228329	924847
396	228901	924254
397	229456	923591
398	230019	922960
399	230579	922317
400	231140	921679
401	231733	921170
402	232309	920591
403	232876	919975
404	233465	919450
405	234041	918873
406	234598	918220
407	235152	917557
408	235705	916889
409	236263	916240
410	236783	915447
411	237359	914870
412	237902	914168
413	238467	913549
414	239032	912929
415	239592	912293
416	240186	911785
417	240746	911151
418	241316	910553
419	241905	910025
420	242485	909465
421	243039	908805
422	243590	908136
423	244160	907541
424	244713	906878
425	245223	906061
426	245776	905401
427	246380	904929
428	246959	904367
429	247510	903702
430	248064	903048
431	248654	902523
432	249222	901921
433	249801	901357
434	250370	900759
435	250931	900131
436	251477	899450
437	252187	899354
438	252747	898720
439	253295	898046
440	253865	897453
441	254452	896916
442	254999	896238
443	255530	895506
444	256072	894816
445	256651	894252
446	257236	893709
447	257785	893043
448	258362	892471
449	258948	891934
450	259502	891285
451	260083	890727
452	260643	890099
453	261211	889500
454	261736	888753
455	262275	888057
456	262800	887311
457	263363	886694
458	263931	886095
459	264478	885429
460	265014	884722
461	265597	884176
462	266105	883378
463	266662	882745
464	267220	882114
465	267765	881442
466	268326	880824
467	268891	880216
468	269463	879635
469	270020	879003
470	270547	878273
471	271102	877636
472	271676	877062
473	272239	876450
474	272828	875924
475	273385	875293
476	273944	874670
477	274499	874034
478	275052	873391
479	275600	872733
480	276190	872211
481	276759	871621
482	277303	870951
483	277846	870278
484	278431	869739
485	278996	869135
486	279560	868532
487	280145	867991
488	280690	867326
489	281260	866742
490	281822	866131
491	282391	865542
492	282935	864877
493	283492	864249
494	284022	863543
495	284598	862974
496	285167	862386
497	285717	861743
498	286293	861176
499	286859	860578
500	287423	859975
501	287956	859281
502	288511	858652
503	289042	857950
504	289601	857334
505	290142	856666
506	290658	855924
507	291218	855311
508	291769	854671
509	292320	854034
510	292912	853516
511	293468	852893
512	294046	852332
513	294553	851568
514	295120	850979
515	295656	850298
516	296212	849677
517	296784	849100
518	297323	848432
519	297863	847765
520	298403	847099
521	298976	846527
522	299521	845877
523	300031	845127
524	300555	844416
525	301132	843858
526	301705	843286
527	302245	842622
528	302804	842015
529	303354	841378
530	303934	840828
531	304469	840152
532	305026	839537
533	305586	838932
534	306142	838315
535	306690	837678
536	307239	837040
537	307757	836321
538	308308	835694
539	308856	835056
540	309412	834441
541	309984	833870
542	310544	833264
543	311109	832674
544	311650	832021
545	312185	831351
546	312717	830672
547	313252	830005
548	313792	829348
549	314322	828667
550	314922	828170
551	315496	827605
552	316063	827022
553	316599	826357
554	317168	825779
555	317716	825148
556	318285	824570
557	318848	823977
558	319398	823350
559	319966	822771
560	320540	822205
561	321077	821546
562	321586	820817
563	322139	820200
564	322710	819628
565	323248	818973
566	323805	818365
567	324343	817710
568	324903	817111
569	325459	816503
570	326023	815915
571	326581	815312
572	327138	814705
573	327689	814085
574	328251	813491
575	328795	812854
576	329338	812215
577	329863	811531
578	330431	810956
579	330984	810341
580	331538	809730
581	332083	809096
582	332636	808483
583	333337	808230
584	333883	807597
585	334470	807066
586	334963	806310
587	335529	805726
588	336110	805181
589	336667	804577
590	337217	803958
591	337805	803430
592	338390	802893
